program,rewrite_id,dataset,variant,run,relation,rule_kind,rule,rule_runtime_ms,rule_num_tuples,rule_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",285.88,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412.272,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55.374,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1521.353,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",282.413,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",411.9,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55.688,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1523.523,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",323.61,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",431.588,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57.135,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1570.357,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",293.799,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",418.919,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57.048,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
