program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,10,21800.837,21.800837,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,11,21638.057,21.638057,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,12,21793.426,21.793426,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,13,21744.456,21.744456,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,14,21878.753,21.878753,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,15,21821.864,21.821864,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,16,21765.612,21.765612,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,17,21908.763,21.908763,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,18,21828.747,21.828747,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,19,21866.295,21.866295,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,2,21977.647,21.977647,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,20,21802.665,21.802665,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,21,21733.16,21.73316,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,22,22461.652,22.461652,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,23,21806.948,21.806948,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,24,21685.031,21.685031,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,25,22265.812,22.265812,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,26,21941.173,21.941173,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,27,21804.22,21.80422,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,28,21942.939,21.942939,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,29,21933.698,21.933698,875136
