rewrite_id,rewrite_label,dataset,variant,run,source_file,relation,rule_src,rule_runtime_us,rule_num_tuples,rule_maxRSS_post,rule_runtime_ms
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,17,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run17.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55934,67499,85888,55.934
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,17,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run17.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1518110,432038,83072,1518.11
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,18,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run18.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284931,499537,60032,284.931
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,18,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run18.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",453008,499537,72192,453.008
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,18,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run18.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55396,67499,85760,55.396
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,18,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run18.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1583635,432038,83072,1583.635
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,19,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run19.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",289049,499537,60160,289.049
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,19,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run19.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",422309,499537,72320,422.309
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,19,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run19.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56008,67499,86016,56.008
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,19,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run19.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1538055,432038,83328,1538.055
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,2,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run2.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",320602,499537,60032,320.602
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,2,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run2.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412275,499537,72192,412.275
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,2,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run2.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56122,67499,85888,56.122
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,2,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run2.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1540616,432038,83200,1540.616
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,20,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run20.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",295705,499537,59904,295.705
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,20,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run20.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",432033,499537,72064,432.033
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,20,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run20.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55588,67499,85632,55.588
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,20,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run20.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1565133,432038,82944,1565.133
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,21,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run21.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",285880,499537,60160,285.88
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,21,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run21.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412272,499537,72320,412.272
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,21,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run21.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55374,67499,86016,55.374
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,21,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run21.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1521353,432038,83328,1521.353
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,22,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run22.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",282413,499537,60160,282.413
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,22,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run22.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",411900,499537,72320,411.9
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,22,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run22.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55688,67499,86016,55.688
