rewrite_id,rewrite_label,dataset,variant,run,source_file,program_runtime_us,program_runtime_ms,program_maxRSS_MB
3,3_unfolding,data_5000nodes_0p02density,noopt,19,3_unfolding__data_5000nodes_0p02density__noopt__run19.json,6722267,6722.267,61.875
3,3_unfolding,data_5000nodes_0p02density,noopt,20,3_unfolding__data_5000nodes_0p02density__noopt__run20.json,6465039,6465.039,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,21,3_unfolding__data_5000nodes_0p02density__noopt__run21.json,6390759,6390.759,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,22,3_unfolding__data_5000nodes_0p02density__noopt__run22.json,6452181,6452.181,62.25
3,3_unfolding,data_5000nodes_0p02density,noopt,23,3_unfolding__data_5000nodes_0p02density__noopt__run23.json,6456141,6456.141,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,24,3_unfolding__data_5000nodes_0p02density__noopt__run24.json,6514578,6514.578,61.75
3,3_unfolding,data_5000nodes_0p02density,noopt,25,3_unfolding__data_5000nodes_0p02density__noopt__run25.json,6570956,6570.956,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,26,3_unfolding__data_5000nodes_0p02density__noopt__run26.json,6467789,6467.789,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,27,3_unfolding__data_5000nodes_0p02density__noopt__run27.json,6453356,6453.356,62.25
3,3_unfolding,data_5000nodes_0p02density,noopt,28,3_unfolding__data_5000nodes_0p02density__noopt__run28.json,6613424,6613.424,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,29,3_unfolding__data_5000nodes_0p02density__noopt__run29.json,6819223,6819.223,61.5
3,3_unfolding,data_5000nodes_0p02density,noopt,30,3_unfolding__data_5000nodes_0p02density__noopt__run30.json,6432413,6432.413,61.75
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,1,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run1.json,6451454,6451.454,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,2,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run2.json,6455115,6455.115,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,3,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run3.json,6538038,6538.038,61.75
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run4.json,6611676,6611.676,61.75
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,5,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run5.json,6568272,6568.272,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,6,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run6.json,6607359,6607.359,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,7,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run7.json,6428449,6428.449,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,8,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run8.json,6423921,6423.921,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,9,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run9.json,6578808,6578.808,61.875
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,10,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run10.json,6462488,6462.488,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,11,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run11.json,6500914,6500.914,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,12,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run12.json,6547516,6547.516,62.125
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,13,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run13.json,6522826,6522.826,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,14,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run14.json,6757833,6757.833,61.875
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,15,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run15.json,6408805,6408.805,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,16,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run16.json,6565998,6565.998,62.25
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,17,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run17.json,6510199,6510.199,61.875
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,18,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run18.json,6588233,6588.233,62.125
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,19,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run19.json,6577550,6577.55,61.875
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,20,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run20.json,6741697,6741.697,61.75
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,21,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run21.json,6510510,6510.51,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,22,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run22.json,6622255,6622.255,62.125
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,23,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run23.json,6448467,6448.467,61.875
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,24,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run24.json,6457082,6457.082,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,25,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run25.json,6545812,6545.812,61.75
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,26,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run26.json,6636538,6636.538,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,27,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run27.json,6428196,6428.196,62.125
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,28,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run28.json,6386681,6386.681,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,29,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run29.json,6447474,6447.474,62.0
4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,data_5000nodes_0p02density,noopt,30,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald__data_5000nodes_0p02density__noopt__run30.json,6509577,6509.577,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,1,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run1.json,6527876,6527.876,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,2,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run2.json,6436850,6436.85,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,3,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run3.json,6394269,6394.269,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,4,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run4.json,6466530,6466.53,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,5,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run5.json,6442957,6442.957,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,6,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run6.json,6561122,6561.122,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,7,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run7.json,6473962,6473.962,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,8,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run8.json,6552570,6552.57,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,9,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run9.json,6434732,6434.732,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,10,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run10.json,6458990,6458.99,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,11,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run11.json,6505996,6505.996,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,12,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run12.json,6467526,6467.526,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,13,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run13.json,6454170,6454.17,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,14,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run14.json,6516748,6516.748,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,15,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run15.json,6595511,6595.511,61.875
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,16,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run16.json,6463905,6463.905,61.875
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,17,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run17.json,6535752,6535.752,61.75
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,18,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run18.json,6517919,6517.919,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,19,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run19.json,6706843,6706.843,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,20,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run20.json,6482332,6482.332,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,21,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run21.json,6471978,6471.978,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,22,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run22.json,6461504,6461.504,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,23,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run23.json,6449790,6449.79,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,24,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run24.json,6483062,6483.062,62.25
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,25,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run25.json,6586443,6586.443,61.625
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,26,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run26.json,6622971,6622.971,62.125
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,27,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run27.json,6444898,6444.898,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,28,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run28.json,6484850,6484.85,61.875
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,29,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run29.json,6400268,6400.268,62.0
5,5_adoms_weggehaald,data_5000nodes_0p02density,noopt,30,5_adoms_weggehaald__data_5000nodes_0p02density__noopt__run30.json,6448870,6448.87,62.25
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,1,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run1.json,7261572,7261.572,60.875
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,2,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run2.json,7086252,7086.252,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,3,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run3.json,7253263,7253.263,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,4,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run4.json,7375070,7375.07,60.375
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,5,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run5.json,7113982,7113.982,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,6,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run6.json,7289274,7289.274,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,7,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run7.json,7039923,7039.923,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,8,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run8.json,7345928,7345.928,60.375
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,9,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run9.json,7335028,7335.028,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,10,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run10.json,7310771,7310.771,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,11,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run11.json,7063739,7063.739,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,12,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run12.json,7186079,7186.079,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,13,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run13.json,7106958,7106.958,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,14,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run14.json,7232747,7232.747,60.75
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,15,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run15.json,7310219,7310.219,60.375
